idiom,condition,sentence,stickiness_score
"('spill', 'bean')",idiom,Everyone is worried that the politician will spill the beans about the fundraiser.,8.240390499471687
"('spill', 'bean')",idiom,"Whenever there is gossip around the office, Lauren is always the first one to spill the beans.",8.19846980762668
"('spill', 'bean')",idiom,"When it comes to scandals, the king always likes to spill the beans.",9.404202036559582
"('spill', 'bean')",idiom,My friend promised not to spill the beans about the surprise party.,12.590616976842284
"('spill', 'bean')",idiom,"My sister usually likes to gossip, but this time she won't spill the beans.",10.08600505720824
"('spill', 'bean')",idiom,The spy didn't want to spill the beans about the details of his mission.,11.334793521324173
"('spill', 'bean')",idiom,The suspect was interrogated by the police in the hopes that he would spill the beans.,12.832758886739612
"('spill', 'bean')",idiom,"To everyone's surprise, the groom managed not to spill the beans during the wedding.",7.19406051770784
"('spill', 'bean')",idiom,The journalist hopes that this politician will finally spill the beans.,11.856296733778436
"('spill', 'bean')",idiom,The CEO worries that his associates might spill the beans to the investors.,7.420154569670558
"('call', 'shot')",idiom,"In this country, the president is the one to call the shots about military operations.",5.689137589070015
"('call', 'shot')",idiom,The same people always get to call the shots.,5.6418847646564245
"('call', 'shot')",idiom,The king seems to be the one who calls the shots.,7.306726954877377
"('call', 'shot')",idiom,This actress will finally be able to call the shots about which movies she makes.,5.676152229309082
"('call', 'shot')",idiom,I like it when I get to call the shots.,3.3720431327819824
"('call', 'shot')",idiom,My mom is the one to call the shots around the house.,5.063955783843994
"('call', 'shot')",idiom,"I find Sarah rather bossy, she always wants to call the shots.",9.124310187296942
"('call', 'shot')",idiom,Firstborn children are prone to call the shots to order around their siblings.,6.279581308364868
"('call', 'shot')",idiom,It is pretty uplifting to be in a position to call the shots.,6.8221840262413025
"('call', 'shot')",idiom,The director is the one who calls the shots on set.,6.100460454821587
"('clear', 'air')",idiom, I asked my supervisor to meet so I could clear the air about my recent absences.,9.552574142813683
"('clear', 'air')",idiom,"Instead of holding a grudge against your dad, you should call him to clear the air.",10.977341681718826
"('clear', 'air')",idiom,The company had to bring in a specialist to help the team clear the air.,5.799564838409424
"('clear', 'air')",idiom,My son finally cleared the air about his failing grades last semester.,9.501334637403488
"('clear', 'air')",idiom,I wish you had given me the opportunity to clear the air.,8.315991401672363
"('clear', 'air')",idiom,We got an opportunity to clear the air in couples therapy.,10.68990182876587
"('clear', 'air')",idiom,Timothy called his friend to clear the air.,10.430606573820114
"('clear', 'air')",idiom,"They had a huge misunderstanding, but decided to clear the air by discussing things frankly.",5.699152838904411
"('clear', 'air')",idiom,It is important to speak to each other to clear the air.,7.854021519422531
"('clear', 'air')",idiom,The minister’s speech cleared the air over his party’s stand on the controversial legislation.,8.113134264945984
"('have', 'ball')",idiom,I used to hate exercise but now I have a ball at the gym.,5.240157306194305
"('have', 'ball')",idiom,"You should come to the carnival, we'll have a ball.",4.309677459299564
"('have', 'ball')",idiom,My parents visited Paris last summer and they had a ball.,4.794644296169281
"('have', 'ball')",idiom,I don't understand why everybody said I'd have a ball at prom.,2.9457165896892548
"('have', 'ball')",idiom,The new year's eve party was a success: the guests had a ball.,5.3689985275268555
"('have', 'ball')",idiom,You're going to have a ball at the wine tasting event.,2.8532018214464188
"('have', 'ball')",idiom,"Every time we go to the waterpark, the kids have a ball.",5.789287507534027
"('have', 'ball')",idiom,The team had a ball at the corporate event.,2.5699076652526855
"('have', 'ball')",idiom,The birthday party was great; the kids really had a ball.,5.273602928966284
"('have', 'ball')",idiom,"We're going to party tonight, since I promised my sister we'd have a ball on her birthday.",2.6080439388751984
"('get', 'sack')",idiom,She got the sack for always being late.,7.17525851726532
"('get', 'sack')",idiom,"If the company doesn't get a better trimester, many employees could get the sack.",3.30426786839962
"('get', 'sack')",idiom,"If you can’t do your job properly, you’re going to get the sack.",4.354622259736061
"('get', 'sack')",idiom,You can get the sack for your poor performance.,3.362537682056427
"('get', 'sack')",idiom,"After 20 years of service, she got the sack.",4.998368144035339
"('get', 'sack')",idiom,Sue's dad got the sack for petty thieving.,1.666405200958252
"('get', 'sack')",idiom,"After yesterday's fiasco, Martin will probably get the sack.",4.7728795781731606
"('get', 'sack')",idiom,It's time John finally got the sack for his attitude with the clients.,0.7272886987775564
"('get', 'sack')",idiom,"My boss warned me that if I don't change my behavior, I will get the sack.",5.543850466609001
"('get', 'sack')",idiom,It is almost impossible for an employee to get the sack in France.,0.28868627548217773
"('bite', 'dust')",idiom,Many young people’s hopes and ambitions bit the dust during the recession.,10.83886170387268
"('bite', 'dust')",idiom,The knight swore he would not rest until his enemy bit the dust.,6.252289056777954
"('bite', 'dust')",idiom,The soldier was too young to bite the dust.,7.400571823120117
"('bite', 'dust')",idiom,His career bit the dust after the incident.,7.659386873245239
"('bite', 'dust')",idiom,Uncle Tom only stopped working when he bit the dust.,6.933948040008545
"('bite', 'dust')",idiom,"Sadly, it doesn't take long for the latest technological innovations to bite the dust in this field.",10.002739500254393
"('bite', 'dust')",idiom,Social media users expressed their discontent at the show creators after their favorite character bit the dust.,8.838414415717125
"('bite', 'dust')",idiom,Many soldiers bit the dust in that battle.,10.68627142906189
"('bite', 'dust')",idiom,"By then, all of Sarah’s romantic ideas about marriage would bite the dust.",12.598124045878649
"('bite', 'dust')",idiom,This politician’s career bit the dust after the big scandal.,9.011074304580688
"('break', 'mold')",idiom,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.",6.580587036907673
"('break', 'mold')",idiom,Voters are looking for a candidate who will break the mold.,7.712627440690994
"('break', 'mold')",idiom,Their approach to sports teaching broke the mold.,9.43828558921814
"('break', 'mold')",idiom,I feel ready to break the mold of what everyone else is doing in this field.,6.341076925396919
"('break', 'mold')",idiom,"As the first female president, she will certainly break the mold.",8.204891499131918
"('break', 'mold')",idiom,This famous chef’s new restaurant breaks the mold of traditional Mexican cuisine.,13.38444417156279
"('break', 'mold')",idiom,Thinking outside the box means you have to be ready to break the mold.,6.05491703748703
"('break', 'mold')",idiom,This company hopes to break the mold with their new innovative solution to improve sustainability.,7.65002098493278
"('break', 'mold')",idiom,"In her new exhibition, the Canadian artist truly breaks the mold.",8.223167732357979
"('break', 'mold')",idiom,"When they first started, they said they were going to break the mold of British politics.",5.783541893586516
"('lose', 'ground')",idiom,We cannot waste time while our soldiers lose ground on the battlefield.,4.826553791761398
"('lose', 'ground')",idiom,"This trimester, the network has lost ground.",4.296825289726257
"('lose', 'ground')",idiom,"We thought Grandma was getting better, but now she's lost ground.",6.113791465759277
"('lose', 'ground')",idiom,"If he starts off too fast, the leader will lose ground to the other runners.",2.4804219603538513
"('lose', 'ground')",idiom,"Ever since the last elections, the government has lost ground to the opposition.",1.6708984076976776
"('lose', 'ground')",idiom,The party has lost ground in this district.,3.242120862007141
"('lose', 'ground')",idiom,Shares of major banks lost ground.,4.962370753288269
"('lose', 'ground')",idiom,The concern in 1970 was that women lost ground in educational opportunities.,0.9087398052215576
"('lose', 'ground')",idiom,The printed media industry has continuously lost ground.,5.523625314235687
"('lose', 'ground')",idiom,Soda companies are expected to lose ground among teens.,3.304417133331299
"('make', 'wave')",idiom,The mayor's announcement made waves in the neighborhood.,1.9177870750427246
"('make', 'wave')",idiom,This new band is expected to make waves.,4.20871396176517
"('make', 'wave')",idiom,The journalist's new article is certainly gonna make waves.,4.10116478567943
"('make', 'wave')",idiom,He has already made waves as a sculptor.,3.1930866225156933
"('make', 'wave')",idiom,"When I started the job, a friend told me not to make waves.",4.651904076337814
"('make', 'wave')",idiom,It is easy to make waves in the music industry.,3.8480834756046534
"('make', 'wave')",idiom,When you go overseas next semester try not to make waves.,5.4537568390369415
"('make', 'wave')",idiom,"At my old job, I was constantly told not to make waves at staff meetings.",4.256797378882766
"('make', 'wave')",idiom,"In my culture, people are encouraged to conform to social norms and not make waves.",4.743263281881809
"('make', 'wave')",idiom,My son is very outspoken and always makes waves at school.,3.2318934500217438
"('cut', 'corner')",idiom,It is certainly not a sensible move to cut corners with national security.,7.008908241987228
"('cut', 'corner')",idiom,People working on site complained about the pressure to cut corners.,5.607250704662874
"('cut', 'corner')",idiom,The boss found out that the accounting department had cut corners.,6.418061777949333
"('cut', 'corner')",idiom,My mom always told me not to cut corners to save time.,6.885154765099287
"('cut', 'corner')",idiom,"To fill out the credit card form this month, I have to cut corners.",7.40404941001907
"('cut', 'corner')",idiom,Some people fear that the president might cut corners in the name of efficiency.,3.9996881803963333
"('cut', 'corner')",idiom,"This is a long and tedious process, so don't be tempted to cut corners.",6.436974501237273
"('cut', 'corner')",idiom,This airline was accused of having cut corners on safety.,7.070366309024394
"('cut', 'corner')",idiom,This is not the time to cut corners.,7.326701613143086
"('cut', 'corner')",idiom,The organization had to cut corners to fit their budget.,2.2063284018076956
"('raise', 'hell')",idiom,Chester was still in the party and ever ready to raise hell in the house.,4.6428070068359375
"('raise', 'hell')",idiom,"Following the government's announcement, the protesters flooded the streets and raised hell.",2.749293804168701
"('raise', 'hell')",idiom,I knew that captain would raise hell.,4.0345916748046875
"('raise', 'hell')",idiom,The only way to preserve democracy is to raise hell about its shortcomings.,4.673404693603516
"('raise', 'hell')",idiom,"If you wake the baby, Mother will raise hell.",0.6392364501953125
"('raise', 'hell')",idiom,They raised hell for three weeks.,2.054555892944336
"('raise', 'hell')",idiom,"Ironically, the anti-war protesters raised hell.",2.5933237075805664
"('raise', 'hell')",idiom,"As a teenager, my dad raised hell in the neighborhood.",0.11782407760620117
"('raise', 'hell')",idiom,"When their hockey team was defeated, my brothers went out and raised hell.",2.9771804809570312
"('raise', 'hell')",idiom,The police officer was absolutely furious about the situation and raised hell in the office.,6.296322822570801
"('pull', 'string')",idiom,I may be able to pull strings for you.,5.045304298400879
"('pull', 'string')",idiom,"He has the job not because of talent, but because his dad pulled strings.",7.067902088165283
"('pull', 'string')",idiom,The only reason Johnny got into college was because his dad pulled strings.,7.6949902176856995
"('pull', 'string')",idiom,It turned out his brother was the person who pulled strings behind all of our backs.,4.602341115474701
"('pull', 'string')",idiom,It is impossible to get anything done around here if you don't pull strings.,5.8220977783203125
"('pull', 'string')",idiom,The president pulled strings to get his nephew out of trouble.,9.350672721862793
"('pull', 'string')",idiom,He knew he had an obligation to fulfill and needed to pull strings.,8.195814073085785
"('pull', 'string')",idiom,The president of the theater had to pull strings to get this performer.,6.431241974234581
"('pull', 'string')",idiom,The wealthy and powerful are usually able to pull strings.,6.753462336957455
"('pull', 'string')",idiom,The king's advisor is the one who pulls the strings from behind the scenes.,5.573165446519852
"('mean', 'business')",idiom,It sounded like Mom means business with her renovation project.,8.104286193847656
"('mean', 'business')",idiom,The party is trying to convince people it means business.,3.024455189704895
"('mean', 'business')",idiom,You’ve got to tell the students that you mean business.,3.5096884965896606
"('mean', 'business')",idiom,He really means business with this deadline.,5.778687357902527
"('mean', 'business')",idiom,Now people are starting to realise that he means business.,4.544017791748047
"('mean', 'business')",idiom,I mean business with this marathon project.,9.033017098903656
"('mean', 'business')",idiom,I could tell from the look on her face that she meant business.,5.455544471740723
"('mean', 'business')",idiom,The entrepreneur meant business with her promise to become a billionaire.,3.9724807739257812
"('mean', 'business')",idiom,The fire in his eyes suggests that he means business.,6.120923936367035
"('mean', 'business')",idiom,The agency means business with their threats to close us down.,6.319891929626465
"('turn', 'tail')",idiom,The fox quickly turned tail after seing the hunter.,3.291025400161743
"('turn', 'tail')",idiom,Harry wasn't the type to turn tail.,4.212862133979797
"('turn', 'tail')",idiom,"When they heard the sirens, the gangsters turned tail.",4.736604258418083
"('turn', 'tail')",idiom,"Startled by the unexpected appearance, the teenagers turned tail without looking back.",5.1200408935546875
"('turn', 'tail')",idiom,"After the crash, the vehicle turned tail.",5.61907958984375
"('turn', 'tail')",idiom,"If the presentation is not perfect, investors could turn tail as fast as they came.",3.810801386833191
"('turn', 'tail')",idiom,"As soon as they saw we had guns, they turned tail.",5.037508524954319
"('turn', 'tail')",idiom,The agitators turned tail after seeing how heavily armed the policemen were.,3.708973820786923
"('turn', 'tail')",idiom,Rebels were forced back from position after position until they turned tail.,5.3317036628723145
"('turn', 'tail')",idiom,The thieves turned tail after seeing the guards.,2.842360496520996
"('rock', 'boat')",idiom,Don't rock the boat without my permission.,5.724529027938843
"('rock', 'boat')",idiom,"Jonathan did not speak up, fearing he would rock the boat.",8.9888054728508
"('rock', 'boat')",idiom,"We are days before the elections, so please do not rock the boat.",13.090714007616043
"('rock', 'boat')",idiom,It's better not to rock the boat at first.,10.268147855997086
"('rock', 'boat')",idiom,"Things are going well, so please don't rock the boat.",12.85653219372034
"('rock', 'boat')",idiom,You can always count on my sister to rock the boat at a family function.,8.323185503482819
"('rock', 'boat')",idiom,Employers don't like people who rock the boat.,13.037812184542418
"('rock', 'boat')",idiom,I don't want to rock the boat in any way.,8.243804514408112
"('rock', 'boat')",idiom,"He kept his feelings to himself, not wanting to rock the boat.",10.603523284196854
"('rock', 'boat')",idiom,No one would want to rock the boat on a deal like that.,11.12196660041809
"('lead', 'field')",idiom,Americans continue to lead the field when it comes to child actors.,6.066893666982651
"('lead', 'field')",idiom,"When it comes to baking, the French lead the field.",6.476015537977219
"('lead', 'field')",idiom,European cyclists usually lead the field.,4.998097747564316
"('lead', 'field')",idiom,When it comes to picking up awards they lead the field by miles.,6.3170783296227455
"('lead', 'field')",idiom,"When it comes the space exploration, Americans lead the field.",5.700901567935944
"('lead', 'field')",idiom,"In the cellular phone market, two companies lead the field on an equal footing.",12.792569160461426
"('lead', 'field')",idiom,"When it comes to Grammy nominations, pop artists lead the field.",5.741688847541809
"('lead', 'field')",idiom,The actor leads the field with 12 nominations.,6.9080915581434965
"('lead', 'field')",idiom,Russian figure skaters lead the field.,7.674652993679047
"('lead', 'field')",idiom,This company led the field for nearly two decades.,14.228821128606796
"('strike', 'chord')",idiom,Their policy on childcare has struck a chord with family voters.,7.662548558786511
"('strike', 'chord')",idiom,The author's words really struck a chord.,8.191531796008348
"('strike', 'chord')",idiom,His anti-government theme struck a chord.,7.820691592991352
"('strike', 'chord')",idiom,Apparently we have struck a chord with a lot of people.,9.870966866612434
"('strike', 'chord')",idiom,The professor's comments seemed to strike a chord.,8.123681342229247
"('strike', 'chord')",idiom,The novels have struck a chord with readers and publishers alike.,7.613311913795769
"('strike', 'chord')",idiom,His unforgiving self-analysis will no doubt strike a chord.,9.068688153289258
"('strike', 'chord')",idiom,This story may strike a chord for other women in the same situation.,10.823246986139566
"('strike', 'chord')",idiom,Her comments about political corruption clearly struck a chord.,9.262119188904762
"('strike', 'chord')",idiom,The speaker obviously struck a chord with his audience.,8.90355487819761
"('run', 'show')",idiom,They made it clear who runs the show around the office.,5.713590621948242
"('run', 'show')",idiom,Somebody had to run the show.,3.9185879230499268
"('run', 'show')",idiom,There are some serious problems with the way the state's leadership runs the show.,6.173376977443695
"('run', 'show')",idiom,Many wonder who will run the show after his passing.,6.574491739273071
"('run', 'show')",idiom,It looks to me as if the employees run the show.,7.2313618659973145
"('run', 'show')",idiom,The king's mother runs the show behind the scene.,7.694461524486542
"('run', 'show')",idiom,We need to find someone to run the show.,4.442677438259125
"('run', 'show')",idiom,We will let the organizations run the show with this new project.,6.2772437781095505
"('run', 'show')",idiom,You'll be given free rein to run the show.,4.401322722434998
"('run', 'show')",idiom,Corporate is looking for someone dynamic to run the show until the boss comes back.,4.968220591545105
"('spill', 'bean')",verbmatch,"In a fit of rage, the toddler decided to spill the juice all over the floor.",3.0779113173484802
"('spill', 'bean')",verbmatch,"My brother is very clumsy, so he might spill the drinks.",6.315258979797363
"('spill', 'bean')",verbmatch,"The carpet is new, so please be careful not to spill the wine.",3.7779822945594788
"('spill', 'bean')",verbmatch,The manager is worried that the waiter might spill the soup in front of all the clients.,3.1716814041137695
"('spill', 'bean')",verbmatch,"The waiter stumbled, but luckily he didn't spill the drinks.",5.691303133964539
"('spill', 'bean')",verbmatch,Please do not spill the soap all over the countertops.,1.3395423889160156
"('spill', 'bean')",verbmatch,The young girl is proud that she managed not to spill the milk.,6.233638763427734
"('spill', 'bean')",verbmatch,The teacher made sure that the students did not spill the ink all over their homework.,0.31011056900024414
"('spill', 'bean')",verbmatch,It would be disastrous if this ship were to spill the oil.,4.0575467348098755
"('spill', 'bean')",verbmatch,I told him to be careful not to spill the beer all over me.,4.564136266708374
"('call', 'shot')",verbmatch,"Whenever I feel sick, I call my mom to help me out.",2.012741365469992
"('call', 'shot')",verbmatch,"If you need help with this document, you can call the boss.",1.6978896856307983
"('call', 'shot')",verbmatch,The soldier fired three times and did not miss a shot.,0
"('call', 'shot')",verbmatch,The principal said he would call my dad to let him know what happened.,1.9684022590517998
"('call', 'shot')",verbmatch,Michelle needs to call her friend.,2.130671739578247
"('call', 'shot')",verbmatch,We should probably call a cab before it gets too late.,4.9269008450210094
"('call', 'shot')",verbmatch,"As soon as we get there, I will call the cops.",5.9271488059312105
"('call', 'shot')",verbmatch,He never fails to call his mom on her birthday.,0.035960860550403595
"('call', 'shot')",verbmatch,I think I heard someone call their dog.,4.090865850448608
"('call', 'shot')",verbmatch,This is the part where the trainer calls the dogs on stage.,2.4389666616916656
"('clear', 'air')",verbmatch,The barman cleared the bar to make space for a new guest.,6.043062686920166
"('clear', 'air')",verbmatch,"Before you start building your house, you should first clear the ground.",4.608384162187576
"('clear', 'air')",verbmatch,"With a wave of the arm, the lawyer cleared his desk.",4.133347928524017
"('clear', 'air')",verbmatch,The art collector cleared her shelf to make space for her new acquisition.,7.841556787490845
"('clear', 'air')",verbmatch,The workers used bulldozers to clear the land.,2.04911807179451
"('clear', 'air')",verbmatch,Let me clear my bed from all the clothes.,5.365008354187012
"('clear', 'air')",verbmatch,They were shoveling the snow to clear a path.,3.5302294492721558
"('clear', 'air')",verbmatch,The farmer cleared the shed to make space for his new truck.,5.99794065952301
"('clear', 'air')",verbmatch,This gust of wind really seems to have cleared the sky.,7.421954862773418
"('clear', 'air')",verbmatch,Julia began to clear the dishes from the table.,4.5692238509655
"('have', 'ball')",verbmatch,I can't wait to have a cat in my new appartment.,7.38674646243453
"('have', 'ball')",verbmatch,This park has a bench.,7.316014301031828
"('have', 'ball')",verbmatch,Mike already has a couch.,7.2008471712470055
"('have', 'ball')",verbmatch,I have a plant in my living room.,7.440264828503132
"('have', 'ball')",verbmatch,"As a kid, I desperately wanted to have a cat.",7.371319834142923
"('have', 'ball')",verbmatch,Monica has a shirt with stripes.,7.152423329651356
"('have', 'ball')",verbmatch,My dad has a bike and my mom has a car.,7.228320114314556
"('have', 'ball')",verbmatch,My parents used to have a house by a lake.,7.422669343650341
"('have', 'ball')",verbmatch,John's dad has a farm.,7.204014182090759
"('have', 'ball')",verbmatch,I have a book on art history.,7.427350584417582
"('get', 'sack')",verbmatch,I stopped by the bakery and got the cake for my dad.,0.5194194316864014
"('get', 'sack')",verbmatch,The hosts expect to get a gift.,1.943769931793213
"('get', 'sack')",verbmatch,I am trying to convince my mom to get a dog.,4.074867129325867
"('get', 'sack')",verbmatch,Sasha went to get a glass in the kitchen.,3.023856043815613
"('get', 'sack')",verbmatch,Yesterday I went to the store to get a dress.,1.2591299712657928
"('get', 'sack')",verbmatch,The journalist got a tip from an anonymous source.,4.495639577507973
"('get', 'sack')",verbmatch,"If you park your car there, you might get a fine.",-3.5506091117858887
"('get', 'sack')",verbmatch,My niece got a crown for her birthday.,3.2437002062797546
"('get', 'sack')",verbmatch,"Last year for Christmas, I got a mug.",2.6866348683834076
"('get', 'sack')",verbmatch,The toddler got a star for his good behavior.,3.5255284793674946
"('bite', 'dust')",verbmatch,It was Eve who bit the fruit in the garden of Eden.,3.1616449058055878
"('bite', 'dust')",verbmatch,The young girl blushed and bit her lip.,9.730471206828952
"('bite', 'dust')",verbmatch,I understand why the mailman is afraid of my dog: she tried to bite the guy.,2.385339856147766
"('bite', 'dust')",verbmatch,The dog bit the shoes in the entrance.,2.3019051551818848
"('bite', 'dust')",verbmatch,My cat often bites my arm.,2.506551682949066
"('bite', 'dust')",verbmatch,Scorpios bite their prey to inject them with venom.,4.7564535439014435
"('bite', 'dust')",verbmatch,"If there is one thing I cannot stand, it is people who bite their nails.",9.879853367805481
"('bite', 'dust')",verbmatch,She licked her lips before she bit the cake.,1.9756466448307037
"('bite', 'dust')",verbmatch,He was sure he saw her bite her cheeks.,5.940754652023315
"('bite', 'dust')",verbmatch,Lions bite their preys at the neck.,5.862981140613556
"('break', 'mold')",verbmatch,Harry broke a vase in the living room.,7.006067454814911
"('break', 'mold')",verbmatch,I'm worried that the kids might break the frame.,4.633736848831177
"('break', 'mold')",verbmatch,Sophie was startled and accidentally broke a glass.,4.581176221370697
"('break', 'mold')",verbmatch,I’m worried that you might break the plates by going too fast.,2.9231700897216797
"('break', 'mold')",verbmatch,"Last time she went skiing, Sarah broke a leg.",4.977454990148544
"('break', 'mold')",verbmatch,I broke my phone by dropping it on the floor.,1.400794267654419
"('break', 'mold')",verbmatch,Please be careful not to break the dishes.,3.943490505218506
"('break', 'mold')",verbmatch,"Unfortunately, I already broke the lace off my new shoes.",9.445055782794952
"('break', 'mold')",verbmatch,The thieves managed to break the glass.,3.4204206466674805
"('break', 'mold')",verbmatch,I got angry at my son when he broke a lamp with his soccer ball.,3.874310851097107
"('lose', 'ground')",verbmatch,It is very common for people to lose keys on their way to work.,2.962070941925049
"('lose', 'ground')",verbmatch,"Alexa gave Mary her diary for safekeeping, not knowing she would lose it.",1.1032214164733887
"('lose', 'ground')",verbmatch,My grandpa always loses gloves.,-5.018799781799316
"('lose', 'ground')",verbmatch,Many people lose bags.,-0.2119288444519043
"('lose', 'ground')",verbmatch,Students often lose pens in their backpacks.,-0.8662538528442383
"('lose', 'ground')",verbmatch,The worst thing a hiker could do is lose shoes.,1.4765864610671997
"('lose', 'ground')",verbmatch,Michael's wallet had a hole in it and he lost coins.,0.7071380615234375
"('lose', 'ground')",verbmatch,I always lose socks in the dryer.,-0.37534523010253906
